PassengerId,Age,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,22.0,0,False,False,True,False,True,False,False,True
2,38.0,1,True,False,False,True,False,True,False,False
3,26.0,1,False,False,True,True,False,False,False,True
4,35.0,1,True,False,False,True,False,False,False,True
5,35.0,0,False,False,True,False,True,False,False,True
6,,0,False,False,True,False,True,False,True,False
7,54.0,0,True,False,False,False,True,False,False,True
8,2.0,0,False,False,True,False,True,False,False,True
9,27.0,1,False,False,True,True,False,False,False,True
10,14.0,1,False,True,False,True,False,True,False,False
11,4.0,1,False,False,True,True,False,False,False,True
12,58.0,1,True,False,False,True,False,False,False,True
13,20.0,0,False,False,True,False,True,False,False,True
14,39.0,0,False,False,True,False,True,False,False,True
15,14.0,0,False,False,True,True,False,False,False,True
16,55.0,1,False,True,False,True,False,False,False,True
17,2.0,0,False,False,True,False,True,False,True,False
18,,1,False,True,False,False,True,False,False,True
19,31.0,0,False,False,True,True,False,False,False,True
20,,1,False,False,True,True,False,True,False,False
21,35.0,0,False,True,False,False,True,False,False,True
22,34.0,1,False,True,False,False,True,False,False,True
23,15.0,1,False,False,True,True,False,False,True,False
24,28.0,1,True,False,False,False,True,False,False,True
25,8.0,0,False,False,True,True,False,False,False,True
26,38.0,1,False,False,True,True,False,False,False,True
27,,0,False,False,True,False,True,True,False,False
28,19.0,0,True,False,False,False,True,False,False,True
29,,1,False,False,True,True,False,False,True,False
30,,0,False,False,True,False,True,False,False,True
31,40.0,0,True,False,False,False,True,True,False,False
32,,1,True,False,False,True,False,True,False,False
33,,1,False,False,True,True,False,False,True,False
34,66.0,0,False,True,False,False,True,False,False,True
35,28.0,0,True,False,False,False,True,True,False,False
36,42.0,0,True,False,False,False,True,False,False,True
37,,1,False,False,True,False,True,True,False,False
38,21.0,0,False,False,True,False,True,False,False,True
39,18.0,0,False,False,True,True,False,False,False,True
40,14.0,1,False,False,True,True,False,True,False,False
41,40.0,0,False,False,True,True,False,False,False,True
42,27.0,0,False,True,False,True,False,False,False,True
43,,0,False,False,True,False,True,True,False,False
44,3.0,1,False,True,False,True,False,True,False,False
45,19.0,1,False,False,True,True,False,False,True,False
46,,0,False,False,True,False,True,False,False,True
47,,0,False,False,True,False,True,False,True,False
48,,1,False,False,True,True,False,False,True,False
49,,0,False,False,True,False,True,True,False,False
50,18.0,0,False,False,True,True,False,False,False,True
51,7.0,0,False,False,True,False,True,False,False,True
52,21.0,0,False,False,True,False,True,False,False,True
53,49.0,1,True,False,False,True,False,True,False,False
54,29.0,1,False,True,False,True,False,False,False,True
55,65.0,0,True,False,False,False,True,True,False,False
56,,1,True,False,False,False,True,False,False,True
57,21.0,1,False,True,False,True,False,False,False,True
58,28.5,0,False,False,True,False,True,True,False,False
59,5.0,1,False,True,False,True,False,False,False,True
60,11.0,0,False,False,True,False,True,False,False,True
61,22.0,0,False,False,True,False,True,True,False,False
62,38.0,1,True,False,False,True,False,False,False,False
63,45.0,0,True,False,False,False,True,False,False,True
64,4.0,0,False,False,True,False,True,False,False,True
65,,0,True,False,False,False,True,True,False,False
66,,1,False,False,True,False,True,True,False,False
67,29.0,1,False,True,False,True,False,False,False,True
68,19.0,0,False,False,True,False,True,False,False,True
69,17.0,1,False,False,True,True,False,False,False,True
70,26.0,0,False,False,True,False,True,False,False,True
71,32.0,0,False,True,False,False,True,False,False,True
72,16.0,0,False,False,True,True,False,False,False,True
73,21.0,0,False,True,False,False,True,False,False,True
74,26.0,0,False,False,True,False,True,True,False,False
75,32.0,1,False,False,True,False,True,False,False,True
76,25.0,0,False,False,True,False,True,False,False,True
77,,0,False,False,True,False,True,False,False,True
78,,0,False,False,True,False,True,False,False,True
79,0.83,1,False,True,False,False,True,False,False,True
80,30.0,1,False,False,True,True,False,False,False,True
81,22.0,0,False,False,True,False,True,False,False,True
82,29.0,1,False,False,True,False,True,False,False,True
83,,1,False,False,True,True,False,False,True,False
84,28.0,0,True,False,False,False,True,False,False,True
85,17.0,1,False,True,False,True,False,False,False,True
86,33.0,1,False,False,True,True,False,False,False,True
87,16.0,0,False,False,True,False,True,False,False,True
88,,0,False,False,True,False,True,False,False,True
89,23.0,1,True,False,False,True,False,False,False,True
90,24.0,0,False,False,True,False,True,False,False,True
91,29.0,0,False,False,True,False,True,False,False,True
92,20.0,0,False,False,True,False,True,False,False,True
93,46.0,0,True,False,False,False,True,False,False,True
94,26.0,0,False,False,True,False,True,False,False,True
95,59.0,0,False,False,True,False,True,False,False,True
96,,0,False,False,True,False,True,False,False,True
97,71.0,0,True,False,False,False,True,True,False,False
98,23.0,1,True,False,False,False,True,True,False,False
99,34.0,1,False,True,False,True,False,False,False,True
100,34.0,0,False,True,False,False,True,False,False,True
101,28.0,0,False,False,True,True,False,False,False,True
102,,0,False,False,True,False,True,False,False,True
103,21.0,0,True,False,False,False,True,False,False,True
104,33.0,0,False,False,True,False,True,False,False,True
105,37.0,0,False,False,True,False,True,False,False,True
106,28.0,0,False,False,True,False,True,False,False,True
107,21.0,1,False,False,True,True,False,False,False,True
108,,1,False,False,True,False,True,False,False,True
109,38.0,0,False,False,True,False,True,False,False,True
110,,1,False,False,True,True,False,False,True,False
111,47.0,0,True,False,False,False,True,False,False,True
112,14.5,0,False,False,True,True,False,True,False,False
113,22.0,0,False,False,True,False,True,False,False,True
114,20.0,0,False,False,True,True,False,False,False,True
115,17.0,0,False,False,True,True,False,True,False,False
116,21.0,0,False,False,True,False,True,False,False,True
117,70.5,0,False,False,True,False,True,False,True,False
118,29.0,0,False,True,False,False,True,False,False,True
119,24.0,0,True,False,False,False,True,True,False,False
120,2.0,0,False,False,True,True,False,False,False,True
121,21.0,0,False,True,False,False,True,False,False,True
122,,0,False,False,True,False,True,False,False,True
123,32.5,0,False,True,False,False,True,True,False,False
124,32.5,1,False,True,False,True,False,False,False,True
125,54.0,0,True,False,False,False,True,False,False,True
126,12.0,1,False,False,True,False,True,True,False,False
127,,0,False,False,True,False,True,False,True,False
128,24.0,1,False,False,True,False,True,False,False,True
129,,1,False,False,True,True,False,True,False,False
130,45.0,0,False,False,True,False,True,False,False,True
131,33.0,0,False,False,True,False,True,True,False,False
132,20.0,0,False,False,True,False,True,False,False,True
133,47.0,0,False,False,True,True,False,False,False,True
134,29.0,1,False,True,False,True,False,False,False,True
135,25.0,0,False,True,False,False,True,False,False,True
136,23.0,0,False,True,False,False,True,True,False,False
137,19.0,1,True,False,False,True,False,False,False,True
138,37.0,0,True,False,False,False,True,False,False,True
139,16.0,0,False,False,True,False,True,False,False,True
140,24.0,0,True,False,False,False,True,True,False,False
141,,0,False,False,True,True,False,True,False,False
142,22.0,1,False,False,True,True,False,False,False,True
143,24.0,1,False,False,True,True,False,False,False,True
144,19.0,0,False,False,True,False,True,False,True,False
145,18.0,0,False,True,False,False,True,False,False,True
146,19.0,0,False,True,False,False,True,False,False,True
147,27.0,1,False,False,True,False,True,False,False,True
148,9.0,0,False,False,True,True,False,False,False,True
149,36.5,0,False,True,False,False,True,False,False,True
150,42.0,0,False,True,False,False,True,False,False,True
151,51.0,0,False,True,False,False,True,False,False,True
152,22.0,1,True,False,False,True,False,False,False,True
153,55.5,0,False,False,True,False,True,False,False,True
154,40.5,0,False,False,True,False,True,False,False,True
155,,0,False,False,True,False,True,False,False,True
156,51.0,0,True,False,False,False,True,True,False,False
157,16.0,1,False,False,True,True,False,False,True,False
158,30.0,0,False,False,True,False,True,False,False,True
159,,0,False,False,True,False,True,False,False,True
160,,0,False,False,True,False,True,False,False,True
161,44.0,0,False,False,True,False,True,False,False,True
162,40.0,1,False,True,False,True,False,False,False,True
163,26.0,0,False,False,True,False,True,False,False,True
164,17.0,0,False,False,True,False,True,False,False,True
165,1.0,0,False,False,True,False,True,False,False,True
166,9.0,1,False,False,True,False,True,False,False,True
167,,1,True,False,False,True,False,False,False,True
168,45.0,0,False,False,True,True,False,False,False,True
169,,0,True,False,False,False,True,False,False,True
170,28.0,0,False,False,True,False,True,False,False,True
171,61.0,0,True,False,False,False,True,False,False,True
172,4.0,0,False,False,True,False,True,False,True,False
173,1.0,1,False,False,True,True,False,False,False,True
174,21.0,0,False,False,True,False,True,False,False,True
175,56.0,0,True,False,False,False,True,True,False,False
176,18.0,0,False,False,True,False,True,False,False,True
177,,0,False,False,True,False,True,False,False,True
178,50.0,0,True,False,False,True,False,True,False,False
179,30.0,0,False,True,False,False,True,False,False,True
180,36.0,0,False,False,True,False,True,False,False,True
181,,0,False,False,True,True,False,False,False,True
182,,0,False,True,False,False,True,True,False,False
183,9.0,0,False,False,True,False,True,False,False,True
184,1.0,1,False,True,False,False,True,False,False,True
185,4.0,1,False,False,True,True,False,False,False,True
186,,0,True,False,False,False,True,False,False,True
187,,1,False,False,True,True,False,False,True,False
188,45.0,1,True,False,False,False,True,False,False,True
189,40.0,0,False,False,True,False,True,False,True,False
190,36.0,0,False,False,True,False,True,False,False,True
191,32.0,1,False,True,False,True,False,False,False,True
192,19.0,0,False,True,False,False,True,False,False,True
193,19.0,1,False,False,True,True,False,False,False,True
194,3.0,1,False,True,False,False,True,False,False,True
195,44.0,1,True,False,False,True,False,True,False,False
196,58.0,1,True,False,False,True,False,True,False,False
197,,0,False,False,True,False,True,False,True,False
198,42.0,0,False,False,True,False,True,False,False,True
199,,1,False,False,True,True,False,False,True,False
200,24.0,0,False,True,False,True,False,False,False,True
201,28.0,0,False,False,True,False,True,False,False,True
202,,0,False,False,True,False,True,False,False,True
203,34.0,0,False,False,True,False,True,False,False,True
204,45.5,0,False,False,True,False,True,True,False,False
205,18.0,1,False,False,True,False,True,False,False,True
206,2.0,0,False,False,True,True,False,False,False,True
207,32.0,0,False,False,True,False,True,False,False,True
208,26.0,1,False,False,True,False,True,True,False,False
209,16.0,1,False,False,True,True,False,False,True,False
210,40.0,1,True,False,False,False,True,True,False,False
211,24.0,0,False,False,True,False,True,False,False,True
212,35.0,1,False,True,False,True,False,False,False,True
213,22.0,0,False,False,True,False,True,False,False,True
214,30.0,0,False,True,False,False,True,False,False,True
215,,0,False,False,True,False,True,False,True,False
216,31.0,1,True,False,False,True,False,True,False,False
217,27.0,1,False,False,True,True,False,False,False,True
218,42.0,0,False,True,False,False,True,False,False,True
219,32.0,1,True,False,False,True,False,True,False,False
220,30.0,0,False,True,False,False,True,False,False,True
221,16.0,1,False,False,True,False,True,False,False,True
222,27.0,0,False,True,False,False,True,False,False,True
223,51.0,0,False,False,True,False,True,False,False,True
224,,0,False,False,True,False,True,False,False,True
225,38.0,1,True,False,False,False,True,False,False,True
226,22.0,0,False,False,True,False,True,False,False,True
227,19.0,1,False,True,False,False,True,False,False,True
228,20.5,0,False,False,True,False,True,False,False,True
229,18.0,0,False,True,False,False,True,False,False,True
230,,0,False,False,True,True,False,False,False,True
231,35.0,1,True,False,False,True,False,False,False,True
232,29.0,0,False,False,True,False,True,False,False,True
233,59.0,0,False,True,False,False,True,False,False,True
234,5.0,1,False,False,True,True,False,False,False,True
235,24.0,0,False,True,False,False,True,False,False,True
236,,0,False,False,True,True,False,False,False,True
237,44.0,0,False,True,False,False,True,False,False,True
238,8.0,1,False,True,False,True,False,False,False,True
239,19.0,0,False,True,False,False,True,False,False,True
240,33.0,0,False,True,False,False,True,False,False,True
241,,0,False,False,True,True,False,True,False,False
242,,1,False,False,True,True,False,False,True,False
243,29.0,0,False,True,False,False,True,False,False,True
244,22.0,0,False,False,True,False,True,False,False,True
245,30.0,0,False,False,True,False,True,True,False,False
246,44.0,0,True,False,False,False,True,False,True,False
247,25.0,0,False,False,True,True,False,False,False,True
248,24.0,1,False,True,False,True,False,False,False,True
249,37.0,1,True,False,False,False,True,False,False,True
250,54.0,0,False,True,False,False,True,False,False,True
251,,0,False,False,True,False,True,False,False,True
252,29.0,0,False,False,True,True,False,False,False,True
253,62.0,0,True,False,False,False,True,False,False,True
254,30.0,0,False,False,True,False,True,False,False,True
255,41.0,0,False,False,True,True,False,False,False,True
256,29.0,1,False,False,True,True,False,True,False,False
257,,1,True,False,False,True,False,True,False,False
258,30.0,1,True,False,False,True,False,False,False,True
259,35.0,1,True,False,False,True,False,True,False,False
260,50.0,1,False,True,False,True,False,False,False,True
261,,0,False,False,True,False,True,False,True,False
262,3.0,1,False,False,True,False,True,False,False,True
263,52.0,0,True,False,False,False,True,False,False,True
264,40.0,0,True,False,False,False,True,False,False,True
265,,0,False,False,True,True,False,False,True,False
266,36.0,0,False,True,False,False,True,False,False,True
267,16.0,0,False,False,True,False,True,False,False,True
268,25.0,1,False,False,True,False,True,False,False,True
269,58.0,1,True,False,False,True,False,False,False,True
270,35.0,1,True,False,False,True,False,False,False,True
271,,0,True,False,False,False,True,False,False,True
272,25.0,1,False,False,True,False,True,False,False,True
273,41.0,1,False,True,False,True,False,False,False,True
274,37.0,0,True,False,False,False,True,True,False,False
275,,1,False,False,True,True,False,False,True,False
276,63.0,1,True,False,False,True,False,False,False,True
277,45.0,0,False,False,True,True,False,False,False,True
278,,0,False,True,False,False,True,False,False,True
279,7.0,0,False,False,True,False,True,False,True,False
280,35.0,1,False,False,True,True,False,False,False,True
281,65.0,0,False,False,True,False,True,False,True,False
282,28.0,0,False,False,True,False,True,False,False,True
283,16.0,0,False,False,True,False,True,False,False,True
284,19.0,1,False,False,True,False,True,False,False,True
285,,0,True,False,False,False,True,False,False,True
286,33.0,0,False,False,True,False,True,True,False,False
287,30.0,1,False,False,True,False,True,False,False,True
288,22.0,0,False,False,True,False,True,False,False,True
289,42.0,1,False,True,False,False,True,False,False,True
290,22.0,1,False,False,True,True,False,False,True,False
291,26.0,1,True,False,False,True,False,False,False,True
292,19.0,1,True,False,False,True,False,True,False,False
293,36.0,0,False,True,False,False,True,True,False,False
294,24.0,0,False,False,True,True,False,False,False,True
295,24.0,0,False,False,True,False,True,False,False,True
296,,0,True,False,False,False,True,True,False,False
297,23.5,0,False,False,True,False,True,True,False,False
298,2.0,0,True,False,False,True,False,False,False,True
299,,1,True,False,False,False,True,False,False,True
300,50.0,1,True,False,False,True,False,True,False,False
301,,1,False,False,True,True,False,False,True,False
302,,1,False,False,True,False,True,False,True,False
303,19.0,0,False,False,True,False,True,False,False,True
304,,1,False,True,False,True,False,False,True,False
305,,0,False,False,True,False,True,False,False,True
306,0.92,1,True,False,False,False,True,False,False,True
307,,1,True,False,False,True,False,True,False,False
308,17.0,1,True,False,False,True,False,True,False,False
309,30.0,0,False,True,False,False,True,True,False,False
310,30.0,1,True,False,False,True,False,True,False,False
311,24.0,1,True,False,False,True,False,True,False,False
312,18.0,1,True,False,False,True,False,True,False,False
313,26.0,0,False,True,False,True,False,False,False,True
314,28.0,0,False,False,True,False,True,False,False,True
315,43.0,0,False,True,False,False,True,False,False,True
316,26.0,1,False,False,True,True,False,False,False,True
317,24.0,1,False,True,False,True,False,False,False,True
318,54.0,0,False,True,False,False,True,False,False,True
319,31.0,1,True,False,False,True,False,False,False,True
320,40.0,1,True,False,False,True,False,True,False,False
321,22.0,0,False,False,True,False,True,False,False,True
322,27.0,0,False,False,True,False,True,False,False,True
323,30.0,1,False,True,False,True,False,False,True,False
324,22.0,1,False,True,False,True,False,False,False,True
325,,0,False,False,True,False,True,False,False,True
326,36.0,1,True,False,False,True,False,True,False,False
327,61.0,0,False,False,True,False,True,False,False,True
328,36.0,1,False,True,False,True,False,False,False,True
329,31.0,1,False,False,True,True,False,False,False,True
330,16.0,1,True,False,False,True,False,True,False,False
331,,1,False,False,True,True,False,False,True,False
332,45.5,0,True,False,False,False,True,False,False,True
333,38.0,0,True,False,False,False,True,False,False,True
334,16.0,0,False,False,True,False,True,False,False,True
335,,1,True,False,False,True,False,False,False,True
336,,0,False,False,True,False,True,False,False,True
337,29.0,0,True,False,False,False,True,False,False,True
338,41.0,1,True,False,False,True,False,True,False,False
339,45.0,1,False,False,True,False,True,False,False,True
340,45.0,0,True,False,False,False,True,False,False,True
341,2.0,1,False,True,False,False,True,False,False,True
342,24.0,1,True,False,False,True,False,False,False,True
343,28.0,0,False,True,False,False,True,False,False,True
344,25.0,0,False,True,False,False,True,False,False,True
345,36.0,0,False,True,False,False,True,False,False,True
346,24.0,1,False,True,False,True,False,False,False,True
347,40.0,1,False,True,False,True,False,False,False,True
348,,1,False,False,True,True,False,False,False,True
349,3.0,1,False,False,True,False,True,False,False,True
350,42.0,0,False,False,True,False,True,False,False,True
351,23.0,0,False,False,True,False,True,False,False,True
352,,0,True,False,False,False,True,False,False,True
353,15.0,0,False,False,True,False,True,True,False,False
354,25.0,0,False,False,True,False,True,False,False,True
355,,0,False,False,True,False,True,True,False,False
356,28.0,0,False,False,True,False,True,False,False,True
357,22.0,1,True,False,False,True,False,False,False,True
358,38.0,0,False,True,False,True,False,False,False,True
359,,1,False,False,True,True,False,False,True,False
360,,1,False,False,True,True,False,False,True,False
361,40.0,0,False,False,True,False,True,False,False,True
362,29.0,0,False,True,False,False,True,True,False,False
363,45.0,0,False,False,True,True,False,True,False,False
364,35.0,0,False,False,True,False,True,False,False,True
365,,0,False,False,True,False,True,False,True,False
366,30.0,0,False,False,True,False,True,False,False,True
367,60.0,1,True,False,False,True,False,True,False,False
368,,1,False,False,True,True,False,True,False,False
369,,1,False,False,True,True,False,False,True,False
370,24.0,1,True,False,False,True,False,True,False,False
371,25.0,1,True,False,False,False,True,True,False,False
372,18.0,0,False,False,True,False,True,False,False,True
373,19.0,0,False,False,True,False,True,False,False,True
374,22.0,0,True,False,False,False,True,True,False,False
375,3.0,0,False,False,True,True,False,False,False,True
376,,1,True,False,False,True,False,True,False,False
377,22.0,1,False,False,True,True,False,False,False,True
378,27.0,0,True,False,False,False,True,True,False,False
379,20.0,0,False,False,True,False,True,True,False,False
380,19.0,0,False,False,True,False,True,False,False,True
381,42.0,1,True,False,False,True,False,True,False,False
382,1.0,1,False,False,True,True,False,True,False,False
383,32.0,0,False,False,True,False,True,False,False,True
384,35.0,1,True,False,False,True,False,False,False,True
385,,0,False,False,True,False,True,False,False,True
386,18.0,0,False,True,False,False,True,False,False,True
387,1.0,0,False,False,True,False,True,False,False,True
388,36.0,1,False,True,False,True,False,False,False,True
389,,0,False,False,True,False,True,False,True,False
390,17.0,1,False,True,False,True,False,True,False,False
391,36.0,1,True,False,False,False,True,False,False,True
392,21.0,1,False,False,True,False,True,False,False,True
393,28.0,0,False,False,True,False,True,False,False,True
394,23.0,1,True,False,False,True,False,True,False,False
395,24.0,1,False,False,True,True,False,False,False,True
396,22.0,0,False,False,True,False,True,False,False,True
397,31.0,0,False,False,True,True,False,False,False,True
398,46.0,0,False,True,False,False,True,False,False,True
399,23.0,0,False,True,False,False,True,False,False,True
400,28.0,1,False,True,False,True,False,False,False,True
401,39.0,1,False,False,True,False,True,False,False,True
402,26.0,0,False,False,True,False,True,False,False,True
403,21.0,0,False,False,True,True,False,False,False,True
404,28.0,0,False,False,True,False,True,False,False,True
405,20.0,0,False,False,True,True,False,False,False,True
406,34.0,0,False,True,False,False,True,False,False,True
407,51.0,0,False,False,True,False,True,False,False,True
408,3.0,1,False,True,False,False,True,False,False,True
409,21.0,0,False,False,True,False,True,False,False,True
410,,0,False,False,True,True,False,False,False,True
411,,0,False,False,True,False,True,False,False,True
412,,0,False,False,True,False,True,False,True,False
413,33.0,1,True,False,False,True,False,False,True,False
414,,0,False,True,False,False,True,False,False,True
415,44.0,1,False,False,True,False,True,False,False,True
416,,0,False,False,True,True,False,False,False,True
417,34.0,1,False,True,False,True,False,False,False,True
418,18.0,1,False,True,False,True,False,False,False,True
419,30.0,0,False,True,False,False,True,False,False,True
420,10.0,0,False,False,True,True,False,False,False,True
421,,0,False,False,True,False,True,True,False,False
422,21.0,0,False,False,True,False,True,False,True,False
423,29.0,0,False,False,True,False,True,False,False,True
424,28.0,0,False,False,True,True,False,False,False,True
425,18.0,0,False,False,True,False,True,False,False,True
426,,0,False,False,True,False,True,False,False,True
427,28.0,1,False,True,False,True,False,False,False,True
428,19.0,1,False,True,False,True,False,False,False,True
429,,0,False,False,True,False,True,False,True,False
430,32.0,1,False,False,True,False,True,False,False,True
431,28.0,1,True,False,False,False,True,False,False,True
432,,1,False,False,True,True,False,False,False,True
433,42.0,1,False,True,False,True,False,False,False,True
434,17.0,0,False,False,True,False,True,False,False,True
435,50.0,0,True,False,False,False,True,False,False,True
436,14.0,1,True,False,False,True,False,False,False,True
437,21.0,0,False,False,True,True,False,False,False,True
438,24.0,1,False,True,False,True,False,False,False,True
439,64.0,0,True,False,False,False,True,False,False,True
440,31.0,0,False,True,False,False,True,False,False,True
441,45.0,1,False,True,False,True,False,False,False,True
442,20.0,0,False,False,True,False,True,False,False,True
443,25.0,0,False,False,True,False,True,False,False,True
444,28.0,1,False,True,False,True,False,False,False,True
445,,1,False,False,True,False,True,False,False,True
